Nome,Concelho
A2 - Saída 14,Silves
A22 - Saída 6,Silves
A22 - Saída 7,Silves
A22 - Saída 8,Silves
A22 - Saída 9,Albufeira
A22 - Saída 11,Loulé
A22 - Saída 12,Loulé
A22 - Saída 13,Loulé
A22 - Saída 14,Faro
A22 - Saída 15,Olhão
A22 - Saída 16,Tavira
A22 - Saída 17,Castro Marim
A22 - Saída 18,Castro Marim
Aeroporto de Beja,Beja
Aeroporto de Faro,Faro
Afonso Vicente,Alcoutim
"Álamo, Alcoutim",Alcoutim
"Álamo, Mértola",Mértola
Albufeira - Centro histórico,Albufeira
Albufeira - Rua da Oura,Albufeira
Alcantarilha,Silves
Alcaria,Castro Marim
Alcarias Grandes,Castro Marim
Alcoutim,Alcoutim
Algar de Benagil,Lagoa
Algarve Shopping,Albufeira
Algoz,Silves
Almada de Ouro,Castro Marim
Almancil,Loulé
Alta Mora,Castro Marim
Alte,Loulé
Altura,Castro Marim
Ameixal,Loulé
Aqualand Algarve,Silves
Aquashow,Loulé
Área de Repouso de Castro Marim,Castro Marim
Área de Serviço de Loulé,Loulé
Área de Serviço de Olhão,Olhão
Área de Serviço de Silves,Silves
Armação de Pêra,Silves
Azinhal,Castro Marim
Balurco de Baixo,Alcoutim
Balurco de Cima,Alcoutim
Bar do Rio,Alcoutim
Barra do Guadiana,Vila Real de Santo António
Barragem de Alcoutim,Alcoutim
Barragem de Odeleite,Castro Marim
Barragem do Beliche,Castro Marim
Barranco das Pereiras,Alcoutim
Barranco do Velho,Loulé
Beja,Beja
Beliche,Castro Marim
Boavista,Mértola
Boliqueime,Loulé
Botelhas,Castro Marim
Brinhosa,Castro Marim
Cabanas de Tavira,Tavira
Cabeço da Junqueira,Castro Marim
Cabo de Santa Maria,Faro
Cacela Velha,Vila Real de Santo António
Cachopo,Tavira
Cais da Mesquita,Mértola
Cais da Praia do Barril,Tavira
Carvoeiro,Lagoa
"Casa Branca, Alcoutim",Alcoutim
"Casa Branca, Castro Marim",Castro Marim
Cascata do Pego do Inferno,Tavira
Cascata do Pulo do Lobo - Margem Esquerda,Serpa
Cascata do Pulo do Lobo - Margem Direita,Mértola
Casinhas,Castro Marim
Castelo de Paderne,Albufeira
Castro Marim,Castro Marim
Castro Marim Golfe & Country Club,Castro Marim
Choça Queimada,Castro Marim
Cercado,Alcoutim
Cerro,Alcoutim
Cerro do Enho,Castro Marim
Coito,Alcoutim
"Conceição, Faro",Faro
"Conceição, Tavira",Tavira
Corte da Seda,Alcoutim
Corte das Donas,Alcoutim
Corte do Gago,Castro Marim
Corte João Marques,Loulé
Corte Nova,Castro Marim
Corte Velha,Castro Marim
Cortes Pereiras,Alcoutim
Corte Tabelião,Alcoutim
Cruzamento da A2 com a A22,Albufeira
Cruzamento do IC4 com a M520,Faro
Cruzamento do IC4 com a N125,Loulé
Cruzamento da M509 com a M512,Castro Marim
Cruzamento da M524 com a M525,Loulé
Cruzamento da N122 com a M1059,Alcoutim
Cruzamento da N122 com a M1060,Castro Marim
Cruzamento da N122 com a M1063,Castro Marim
Cruzamento da N122 com a M507,Alcoutim
Cruzamento da N122 com a M507-2,Alcoutim
Cruzamento da N122 com a M512,Castro Marim
Cruzamento da N122 com a N123,Mértola
Cruzamento da N124 com a M507-1,Alcoutim
Cruzamento da N124 com a N270,Silves
Cruzamento da N124 com a N396,Loulé
Cruzamento da N124-1 com a N125,Lagoa
Cruzamento da N125 com a M1347,Tavira
Cruzamento da N125 com a M516-2,Olhão
Cruzamento da N125 com a M526,Loulé
Cruzamento da N125 com a N125-6,Castro Marim
Cruzamento da N125 com a N269,Albufeira
Cruzamento da N125 com a N395,Albufeira
Cruzamento da N125 com a N396,Loulé
Cruzamento da N125 com a N398,Olhão
Cruzamento da N125-4 com a M521,Loulé
Cruzamento da N265 com a N392,Serpa
Cruzamento da N269 com a N269-2,Silves
Culatra,Faro
Deserto,Alcoutim
Dunas de Vila Real de Santo António,Vila Real de Santo António
Espírito Santo,Mértola
Estação de Albufeira - Ferreiras,Albufeira
Estação de Alcantarilha,Silves
Estação de Almancil,Loulé
Estação de Boliqueime,Loulé
Estação de Bom João,Faro
Estação de Cacela,Vila Real de Santo António
Estação de Castro Marim,Castro Marim
Estação de Estômbar - Lagoa,Lagoa
Estação de Faro,Faro
Estação de Ferragudo,Lagoa
Estação de Fuseta-A,Olhão
Estação de Fuseta-Moncarapacho,Olhão
Estação de Loulé,Loulé
Estação da Luz,Tavira
Estação de Messines - Alte,Silves
Estação de Monte Gordo,Vila Real de Santo António
Estação de Parque das Cidades,Loulé
Estação da Porta Nova,Tavira
Estação de Tavira,Tavira
Estação de Silves,Silves
Estádio Algarve,Loulé
Estoi,Faro
Estômbar,Lagoa
Faro - Avenida Calouste Gulbenkian,Faro
Faro - São Pedro,Faro
Faro - Sé,Faro
Ferragudo,Lagoa
Ferreiras,Albufeira
Fonte Benémola,Loulé
Fonte do Penedo,Castro Marim
Fonte Zambujo,Alcoutim
Fonte Zambujo de Baixo,Alcoutim
Fonte Zambujo de Cima,Alcoutim
Forum Algarve,Faro
Foz de Odeleite,Castro Marim
Furnazinhas,Castro Marim
Fuseta,Olhão
Giões,Alcoutim
Guerreiros do Rio,Alcoutim
Guia,Albufeira
Hangares,Faro
Hortas,Vila Real de Santo António
IC1 - Cruzamento com a N124,Silves
IC1 - Fim,Albufeira
IC27 - Fim,Alcoutim
IC27 - Início,Castro Marim
IC27 - Saída 1,Castro Marim
IC27 - Saída 2,Castro Marim
IC27 - Saída 3,Castro Marim
IC27 - Saída 4,Castro Marim
IC27 - Saída 5,Castro Marim
IC27 - Saída 6,Alcoutim
IC27 - Saída 7,Alcoutim
Ilha da Armona,Olhão
Ilha do Farol,Faro
IP2 - Saída 44,Beja
Junqueira,Castro Marim
Lagoa,Lagoa
Laranjeiras,Alcoutim
Loulé,Loulé
Livramento,Tavira
Luz de Tavira,Tavira
Manta Rota,Vila Real de Santo António
Mar Shopping Algarve,Loulé
Marmeleiro,Alcoutim
Martim Longo,Alcoutim
Menires do Lavajo,Alcoutim
Mértola,Mértola
Mesquita,Mértola
Mexilhoeira da Carregação,Lagoa
Mina de Sal-Gema de Loulé,Loulé
Minas de São Domingos,Mértola
Miradouro do Caldeirão,Loulé
Moncarapacho,Olhão
Monte Alto,Mértola
Monte Francisco,Castro Marim
Monte Gordo,Vila Real de Santo António
Monte Vascão,Alcoutim
Montenegro,Faro
Montes Castelhanos,Castro Marim
Montinho,Alcoutim
Montinho das Laranjeiras,Alcoutim
Montinho de Odeleite,Castro Marim
Moreanes,Mértola
Murteira de Baixo,Castro Marim
Murteira de Cima,Castro Marim
N125 - Acesso a Estômbar e Ferragudo,Lagoa
Norte do Sapal de Castro Marim e Vila Real de Santo António,Castro Marim
Odeleite,Castro Marim
Olhão,Olhão
Olhos de Água,Albufeira
Paderne,Albufeira
Palmeira,Alcoutim
Parchal,Lagoa
Parque Empresarial de Alcoutim,Alcoutim
Parque Mineiro Cova dos Mouros,Alcoutim
Parque Municipal do Sítio das Fontes,Lagoa
Parque Temático da Serra do Caldeirão,Loulé
Pechão,Olhão
Pedras de El-Rei,Tavira
Penha da Águia,Mértola
"Pêra, Silves",Silves
Pereiro,Alcoutim
Piçarral,Castro Marim
Picoitos,Mértola
Poço Barreto,Silves
Pomarão,Mértola
Porches,Lagoa
Portela Alta de Baixo,Castro Marim
Portela Alta de Cima,Castro Marim
Porto de Faro,Faro
Porto de Pesca de Portimão,Lagoa
Praia da Barreta,Faro
Praia da Cacela Velha,Vila Real de Santo António
Praia da Cova Redonda,Lagoa
Praia da Falésia,Albufeira
Praia da Fuseta,Olhão
Praia da Galé,Albufeira
Praia da Ilha de Tavira,Tavira
Praia da Marinha,Lagoa
Praia da Nossa Senhora da Rocha,Lagoa
Praia da Oura,Albufeira
Praia de Benagil,Lagoa
Praia de Cabanas de Tavira,Tavira
Praia de Faro,Faro
Praia de Santa Eulália,Albufeira
Praia do Barril,Tavira
Praia do Carvalho,Lagoa
Praia do Vale de Centeanes,Lagoa
Praia dos Alemães,Albufeira
Praia dos Salgados,Albufeira
Praia Nova,Lagoa
Praia Verde,Castro Marim
Quarteira,Loulé
Quatro Águas,Tavira
Quebradas,Castro Marim
Quelfes,Olhão
Querença,Loulé
Quinta do Lago,Loulé
Quinta do Vale Golf Resort,Castro Marim
Ribeira do Vascão,Mértola
Rocha da Pena,Loulé
Rotunda da Árvore,Alcoutim
Ruínas Romanas de Milreu,Faro
Salgueiros,Mértola
Salir,Loulé
Santa Bárbara de Nexe,Faro
Santa Catarina da Fonte do Bispo,Tavira
Santa Luzia,Tavira
Santa Marta,Alcoutim
Santuário de Nossa Senhora da Piedade,Loulé
São Bartolomeu de Messines,Silves
São Brás de Alportel,São Brás de Alportel
São Marcos da Serra,Silves
São Martinho,Alcoutim
Sedas,Mértola
Sentinela,Castro Marim
Serpa,Serpa
Serro da Vinha de Baixo,Alcoutim
Serro da Vinha de Cima,Alcoutim
Silves,Silves
Sítio da Fábrica,Vila Real de Santo António
Slide & Splash,Lagoa
Sul do Sapal de Castro Marim e Vila Real de Santo António,Castro Marim
Tacões,Alcoutim
Tanoeiro,Castro Marim
Tavira - Norte,Tavira
Tavira - Sul,Tavira
Tenência,Castro Marim
Torneiro,Alcoutim
Tunes,Silves
Universidade do Algarve - Campus de Gambelas,Faro
Universidade do Algarve - Campus da Penha,Faro
Vale de Andreu,Castro Marim
Vale do Lobo,Loulé
Vale do Pereiro,Castro Marim
Vale do Poço,Mértola
Vaqueiros,Alcoutim
Variante de Faro - Nó com o IC4,Faro
Variante de Faro - Nó com a M518,Faro
Variante de Faro - Nó com a N2,Faro
"Vicentes, Alcoutim",Alcoutim
Vila Nova de Cacela,Vila Real de Santo António
Vila Nova de São Bento,Serpa
Vila Real de Santo António,Vila Real de Santo António
Vilamoura,Loulé
Vista Real,Castro Marim
Zoomarine,Albufeira
